區域,里別,日期,星期,集合時間,集合地點,緯度,經度,鎖匠,警員,刑警,噴工數,支援人力
東區,文聖里,01月21日,三,08:50,台南市裕文路,22.9826487,120.241804,1,1,1,3,3
東,後甲,05月22日,五,15:00,台南市東區裕農路,22.9886146,120.2360187,0,0,0,4,0
北區,六甲里,05月24日,日,08:00,台南市北區和緯路二段30巷,23.0120605,120.2103339,1,1,1,9,10
安南區,安富里,05月26日,二,08:30,台南市安南區安寧街路口,23.0290379,120.1974869,1,1,1,2,0
北區,正覺里,06月13日,六,08:30,台南市北區公園路,23.0068369,120.2100531,2,2,2,8,11
北區,正覺里、六甲里,06月16日,二,13:30,台南市北區和緯路二段30巷,23.0120605,120.2103339,2,2,2,15,19
安南區,州北里,06月19日,五,14:45,台南市安南區長和路二段12巷213弄,23.0678996,120.2214112,0,1,1,2,0
北區,正覺里,06月24日,三,08:30,台南市北區公園路,23.0068369,120.2100531,2,2,2,6,5
東區,大德里,06月27日,六,14:00,台南市東區立德十路1巷,22.9781706,120.2138896,1,1,1,2,0
北區,正覺里,07月01日,三,13:30,台南市北區公園路769巷20弄,23.0186004,120.2145862,2,2,2,7,7
安定區,海寮里,07月02日,四,14:30,台南市安定區安定里,23.1115672,120.2541575,1,1,,3,2
安南區,溪頂里,07月03日,五,09:00,台南市安南區頂溪里惠安街151巷,23.0258445,120.2070491,1,1,1,8,9
安南區,溪頂里,07月03日,五,14:00,台南市安南區頂溪里聖安街,23.0585336,120.1358346,1,1,1,4,3
安南區,溪頂里,07月04日,六,13:30,台南市安南區郡安路四段278巷,23.0278731,120.2056136,1,1,1,9,10
北區,六甲里,07月05日,日,13:30,台南市北區和緯路二段30巷,23.0120605,120.2103339,2,2,2,7,11
北區,成德里,07月05日,日,13:30,台南市北區育賢街,23.0144262,120.2079916,2,2,2,6,3
安南區,溪頂里,07月07日,二,13:30,台南市北安路二段60巷,23.0272246,120.2056864,1,1,1,4,4
北區,延平里,07月08日,三,13:30,台南市北區長榮路五段,23.0128505,120.2166802,4,4,4,19,26
